PRICE,BEDROOMS,BATHROOMS,FLOORS,INSTALLMENT_YEARS,HAS_INSTALLMENT,REAL_ESTATE_COMPANY,SIZE(SQM),AMENITIES_نادي صحي مشترك,AMENITIES_حارس أمن,AMENITIES_صالة رياضة مشتركة,AMENITIES_حديقة خاصة,AMENITIES_موقف مغطى,AMENITIES_غرفة خادمة,AMENITIES_مسبح خاص,AMENITIES_مطل على بحيرات,AMENITIES_COUNT,LATITUDE,LONGITUDE,PROPERTY_TYPE
9651868.0,3,3,-1.0,0.0,0,سراي,260,0,1,0,1,0,0,0,0,5,30.09417724609375,31.70400047302246,فيلا
13635000.0,3,3,-1.0,0.0,0,البوسكو سيتي,282,0,1,0,1,0,0,0,0,5,30.07013320922852,31.66701889038086,فيلا
9450000.0,3,3,-1.0,0.0,0,سراي,260,0,1,0,1,0,0,0,0,5,30.09417724609375,31.70400047302246,فيلا
23478801.0,4,4,-1.0,0.0,0,ذا فاليز,200,1,1,1,1,1,1,1,0,14,30.04700469970703,31.655561447143555,تاون هاوس
15000000.0,4,4,-1.0,0.0,0,جرين سكوير,268,0,1,0,0,1,1,1,0,11,30.046466827392575,31.63002014160156,تاون هاوس
15200000.0,4,4,-1.0,0.0,0,جرين سكوير,268,1,1,0,1,1,1,0,0,8,30.046466827392575,31.63002014160156,تاون هاوس
15500000.0,4,3,-1.0,0.0,0,جرين سكوير,268,0,1,0,0,1,1,0,0,9,30.046466827392575,31.63002014160156,تاون هاوس
16500000.0,3,3,-1.0,0.0,0,سيينز,165,1,1,1,1,1,1,1,1,18,30.049936294555664,31.612459182739254,فيلا
18500000.0,4,3,-1.0,0.0,0,سيينز,185,1,1,1,1,1,1,1,1,18,30.049936294555664,31.612459182739254,فيلا
46000000.0,4,2,-1.0,0.0,0,في الشرق,220,1,1,1,1,1,1,1,1,18,30.064329147338867,31.634218215942383,فيلا
7800000.0,4,4,-1.0,0.0,0,سراي,260,1,1,1,1,0,1,0,1,13,30.09417724609375,31.70400047302246,فيلا
17200000.0,3,3,-1.0,0.0,0,هاب تاون,240,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,فيلا
18590000.0,4,2,-1.0,0.0,0,سراي,239,1,0,1,0,1,0,0,0,7,30.09417724609375,31.70400047302246,فيلا
12714190.0,3,3,-1.0,0.0,0,مونتي نابوليوني,225,1,1,1,0,1,0,0,0,5,30.048423767089844,31.630369186401367,تاون هاوس
4700000.0,2,1,4.0,0.0,0,هاب تاون,102,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,شقة
11797837.0,4,4,-1.0,0.0,0,سراي,212,0,1,0,1,0,1,0,0,5,30.09417724609375,31.70400047302246,فيلا
15000000.0,3,3,-1.0,0.0,0,هاب تاون,195,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,فيلا
15000000.0,4,3,-1.0,0.0,0,هاب تاون,195,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,فيلا
16200000.0,4,3,-1.0,12.0,1,الفراشه,212,1,1,1,1,1,1,1,1,18,30.07651710510254,31.683374404907227,أي فيلا
11000000.0,3,3,-1.0,0.0,0,هاب تاون,175,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,تاون هاوس
7000000.0,3,2,-1.0,0.0,0,هاب تاون,165,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,تاون هاوس
16500000.0,3,3,-1.0,0.0,0,هاب تاون,220,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,فيلا
5284000.0,3,2,0.0,0.0,0,سراي,158,1,1,1,1,1,1,1,1,17,30.09417724609375,31.70400047302246,شقة
18800000.0,3,4,-1.0,0.0,0,في الشرق,190,0,1,0,0,0,0,0,0,3,30.064329147338867,31.634218215942383,فيلا
10967692.0,4,3,-1.0,0.0,0,سراي,212,0,1,0,1,0,1,0,0,5,30.09417724609375,31.70400047302246,فيلا
4000000.0,2,2,0.0,0.0,0,لافينير,120,0,1,0,1,1,0,0,0,5,30.054826736450195,31.618816375732425,شقة
8000000.0,3,3,-1.0,0.0,0,هاب تاون,175,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,تاون هاوس
11250000.0,4,4,-1.0,0.0,0,ذا فاليز,240,0,1,0,1,1,1,0,0,6,30.04700469970703,31.655561447143555,فيلا
11250000.0,4,4,-1.0,0.0,0,هاب تاون,240,0,1,0,1,1,1,0,0,6,30.051855087280277,31.6932315826416,فيلا
13100000.0,5,5,-1.0,0.0,0,هاب تاون,300,0,1,0,1,1,1,0,0,6,30.051855087280277,31.6932315826416,فيلا
13100000.0,5,5,-1.0,0.0,0,ذا فاليز,300,0,1,0,1,1,1,0,0,6,30.04700469970703,31.655561447143555,فيلا
20000000.0,3,3,-1.0,12.0,1,الفراشه,175,1,1,1,1,1,0,1,1,17,30.07651710510254,31.683374404907227,فيلا
13686970.0,3,5,-1.0,0.0,0,أليفا,250,0,1,0,1,0,1,0,0,4,30.057632446289062,31.67757797241211,دوبلكس
3700000.0,3,3,0.0,0.0,0,كابيتال جاردنز - بالم هيلز,171,1,1,1,1,1,0,0,0,6,30.106813430786133,31.693866729736328,شقة
3996800.0,2,2,3.0,0.0,0,بلوم فيلدز,127,0,1,0,0,0,0,0,0,3,30.051855087280277,31.6932315826416,شقة
4271347.0,2,2,1.0,0.0,0,سراي,112,1,1,1,1,1,1,1,1,18,30.09417724609375,31.70400047302246,شقة
4870000.0,3,3,1.0,0.0,0,سراي,169,0,1,0,1,1,0,0,0,5,30.09417724609375,31.70400047302246,شقة
17751000.0,4,3,-1.0,0.0,0,ذا وندر مارك,320,1,1,1,1,1,1,1,1,18,30.048582077026367,31.640851974487305,فيلا
5631515.0,3,3,5.0,0.0,0,البوسكو سيتي,149,0,1,0,0,0,0,0,0,3,30.07013320922852,31.66701889038086,شقة
7500000.0,3,3,1.0,0.0,0,زيزينيا المستقبل,261,1,1,1,0,0,1,0,1,12,30.05000877380371,31.62364959716797,شقة
3900000.0,2,2,0.0,0.0,0,سراي,131,1,1,0,1,1,0,0,0,7,30.09417724609375,31.70400047302246,شقة
11213134.0,3,3,-1.0,0.0,0,أليفا,220,1,1,1,0,0,0,0,0,5,30.057632446289062,31.67757797241211,أي فيلا
6750000.0,3,2,0.0,0.0,0,كابيتال جاردنز - بالم هيلز,193,1,1,1,0,0,0,0,0,5,30.106813430786133,31.693866729736328,شقة
